IMIĘ PIERWSZE,LICZBA WYSTĄPIENIEŃ
AMIRA,10
ANATOLIA,10
ANATOLA,10
NICOL,10
TEONA,10
DAIANA,10
HANIA,10
YEVANHELINA,10
KAMELIA,10
MISHEL,10
KIARA,9
DOBROSŁAWA,9
BELLA,9
CHLOE,9
AFINA,9
MIROSLAWA,9
MILANIA,9
DANA,9
AVRORA,9
FLORENCJA,9
ZLATOSLAVA,9
SABRINA,9
DAJANA,9
YARYNA,9
CATALEYA,9
MARIYA,9
TETIANA,9
WARWARA,9
BERNADETTA,9
ALISIIA,9
SNIZHANA,9
ARYNA,9
NATALIIA,9
ALIA,9
LIYA,9
IVANKA,9
ELIZABET,9
MAJKA,9
ALENA,9
NOELIA,9
DEBORA,8
BERENIKA,8
YESENIIA,8
AMALIA,8
CHIARA,8
GRACJA,8
JULIANA,8
MELANIE,8
LEONA,8
ANA,8
MATILDA,8
HELEN,8
YELIZAVETA,8
OLESIA,8
MALIKA,8
ADELE,8
JENNIFER,8
KRISTINA,8
VALERIYA,8
KORA,8
RACHELA,8
BRYGIDA,7
ANABELLA,7
ANASTASIYA,7
MARYAM,7
ESTER,7
JANKA,7
MIRELA,7
NATALIE,7
ROSA,7
MARIOLA,7
FREYA,7
ALANA,7
ULA,7
GRAŻYNA,7
MATHILDA,7
STEFANIYA,7
MAIA,7
ROZA,7
AYA,7
DANIELLA,7
KARLA,7
MARYSIA,7
CORNELIA,7
VLADISLAVA,7
LINDA,7
ELVIRA,7
BLANCA,7
LEONIE,7
ZARA,7
LIJA,7
LUDWIKA,7
AMALIIA,7
LISA,7
ZOEY,7
LILLI,7
PIA,7
SOFIE,7
FRANCESCA,7
TAISIIA,6
FATIMA,6
BALBINA,6
NIKOLETTA,6
TOSIA,6
ILARIIA,6
ROSE,6
SCARLETT,6
ELLIE,6
ERYKA,6
DAISY,6
MIKA,6
ARLETA,6
EVANGELINA,6
VALENTYNA,6
DARYA,6
ILARIA,6
LILLIANA,6
ELA,6
LARISSA,6
CELIA,6
LILIIA,6
TULIA,6
ELISA,6
NAWOJKA,6
REBEKA,6
FLAWIA,6
CARLA,6
SOFI,6
MIŁKA,6
MELODY,6
SVITLANA,6
EMI,6
LILE,6
KATIA,6
LUISA,6
MARIE,6
LUCY,6
AHATA,5
KATALEYA,5
TEIA,5
ESENIIA,5
NELI,5
ISABEL,5
LETTY,5
LATOYA,5
MELODIA,5
VLADA,5
MERCEDES,5
LETICIA,5
WIWIANA,5
ANAYA,5
CYNTIA,5
ADELIIA,5
SUSANNA,5
ELEANOR,5
WŁADYSŁAWA,5
AGNES,5
KARMEN,5
SIENNA,5
FREJA,5
VIKTORIYA,5
ANASTASIJA,5
ROKSOLANA,5
ALBINA,5
NIKOLE,5
RONJA,5
AYANA,5
JESENIA,5
ALDONA,5
CHRYSTYNA,5
EMANUELA,5
SAWA,5
MAURA,5
ARIELA,5
EUNIKA,5
ALMA,5
JASMIN,5
LUCIA,5
IRIS,5
LÉA,5
FELICYTA,5
MARIJA,5
ANDRIANA,5
JARYNA,5
RUT,5
KATALEJA,5
EMILIE,5
ROXANA,5
SALOMEA,5
JASMINE,5
WIERA,5
INAYA,4
ELISABETH,4
DINA,4
LIDIIA,4
ELISE,4
EKATERINA,4
MICHAELA,4
ADELIA,4
ELSA,4
MILANIIA,4
NOELLE,4
LOLITA,4
BRONISŁAWA,4
NOLA,4
KAYLA,4
EMILA,4
MARCJA,4
ADELAJDA,4
ZARINA,4
MARYNA,4
ZOIA,4
JÓZEFA,4
TIFFANY,4
SALMA,4
WIKTORIIA,4
VITALINA,4
TEREZA,4
DINARA,4
ASIA,4
LANA,4
LARISA,4
RAJA,4
KESJA,4
EMILIJA,4
MEGAN,4
ISABELLE,4
RAISA,4
LORENA,4
AMAYA,4
DOBROMIRA,4
