Nazwisko,Liczba wystąpień
KLIMCZAK,8628
BANAŚ,8599
CYBULSKA,8598
KOMOROWSKA,8568
RAK,8537
GODLEWSKA,8533
BIENIEK,8530
ŻURAWSKA,8525
ZAWADA,8396
GRUSZKA,8395
GROCHOWSKA,8389
SKRZYPCZAK,8386
SZCZĘSNA,8379
CICHOCKA,8369
PRZYBYŁA,8360
DROZD,8330
CICHOŃ,8247
KUŚ,8246
RÓŻAŃSKA,8239
GÓRKA,8184
NIEWIADOMSKA,8169
WINIARSKA,8116
KULIK,8112
PANEK,8094
KRZYŻANOWSKA,8082
KRAWIEC,8074
MIELCZAREK,8068
SIWEK,8017
PTAK,7984
KONOPKA,7957
LEŚNIEWSKA,7950
FILIPIAK,7947
STRZELECKA,7925
ZARZYCKA,7909
GRACZYK,7901
MIKOŁAJCZAK,7873
GIL,7856
ZAREMBA,7827
SZCZEPANIK,7813
SŁOWIK,7805
TOKARSKA,7798
ANTCZAK,7795
MAĆKOWIAK,7784
SZYMCZYK,7708
KŁOS,7707
STAŃCZYK,7698
BARTKOWIAK,7671
KACZYŃSKA,7660
BUCZEK,7635
GÓRNA,7606
CIEŚLA,7596
MŁYNARCZYK,7595
GRZYB,7578
SKOWRON,7548
JANIAK,7543
BIERNAT,7517
JANUS,7508
BANASIAK,7482
KOSTRZEWA,7460
SZCZYGIEŁ,7441
RAKOWSKA,7433
GĄSIOR,7426
SZOSTAK,7422
JUREK,7414
BOGUSZ,7411
BARTCZAK,7406
KRÓLIKOWSKA,7393
KALETA,7383
DŁUGOSZ,7368
WĘGRZYN,7366
SIENKIEWICZ,7344
KUCHARCZYK,7318
KSIĄŻEK,7309
RÓŻYCKA,7298
GAWRON,7294
KUBIK,7286
FRĄCZEK,7235
GAWLIK,7226
KULA,7177
BAGIŃSKA,7164
PAŁKA,7159
DOBOSZ,7156
ŻEBROWSKA,7146
ROGALSKA,7102
WITCZAK,7098
HAJDUK,7060
TRZCIŃSKA,7050
FRANKOWSKA,7029
ZARĘBA,7026
TROJANOWSKA,7022
GAWROŃSKA,7014
MALISZEWSKA,6979
MALEC,6970
GRZEGORCZYK,6957
RYBICKA,6955
TKACZYK,6944
ROGALA,6940
RZEPKA,6931
ROJEK,6924
DUDZIŃSKA,6906
MIKULSKA,6894
RADOMSKA,6887
KACZOROWSKA,6841
FIJAŁKOWSKA,6762
FRĄCKOWIAK,6757
KISIEL,6749
NAWROT,6692
WIĘCKOWSKA,6676
MIKA,6669
BOGUCKA,6665
GRZESIAK,6652
LACH,6620
BOREK,6595
CZYŻEWSKA,6590
GAŁĄZKA,6590
WĄSIK,6576
WOJTCZAK,6573
KWAŚNIEWSKA,6560
ZABOROWSKA,6548
BIAŁAS,6538
STEC,6514
ROSIAK,6508
ŚLUSARCZYK,6476
WÓJCICKA,6476
BURZYŃSKA,6462
SOKÓŁ,6449
LIPSKA,6425
PIETRAS,6404
KMIECIK,6401
KOŁODZIEJSKA,6394
WNUK,6382
DĄBEK,6364
JUSZCZAK,6342
BOCHENEK,6336
DRZEWIECKA,6326
ZAJĄCZKOWSKA,6322
PAWELEC,6314
KUBACKA,6311
WALKOWIAK,6307
SZAFRAŃSKA,6301
LASOTA,6300
ŁUKASIEWICZ,6295
JANAS,6285
KARWOWSKA,6274
SKRZYPEK,6240
GRUSZCZYŃSKA,6219
WROŃSKA,6218
KRYSIAK,6195
MROCZEK,6195
CEBULA,6179
JĘDRZEJCZAK,6176
MASŁOWSKA,6172
JAGODZIŃSKA,6170
DĘBOWSKA,6167
JĘDRZEJCZYK,6159
FLIS,6158
ZYGMUNT,6153
BIELAWSKA,6149
CYGAN,6121
LISIECKA,6116
KAŁUŻA,6096
ŁAPIŃSKA,6092
PIWOWARCZYK,6090
SKIBIŃSKA,6080
BOROWIEC,6078
FILIPEK,6073
PASTERNAK,6062
KARAŚ,6061
JURKIEWICZ,6050
PIÓRKOWSKA,6049
KRAKOWIAK,6027
JAGIEŁŁO,6019
MISIAK,6017
CZAPLA,6016
KUBICA,6015
WILCZEK,6008
FALKOWSKA,5996
ŻMUDA,5993
SOBIERAJ,5975
TWARDOWSKA,5956
BUJAK,5949
PILARSKA,5942
URBAŃCZYK,5936
DROZDOWSKA,5906
NOWACZYK,5896
RACZYŃSKA,5892
CISZEWSKA,5890
STELMACH,5889
GAWEŁ,5885
STRZELCZYK,5879
ŁUKASZEWSKA,5877
GUTOWSKA,5871
ZIELONKA,5868
BARTOSIK,5854
WASIAK,5847
ANDRZEJCZAK,5799
SZCZEŚNIAK,5782
BILSKA,5771
SOŁTYS,5770
TARNOWSKA,5763
JAKUBIAK,5735
SKOCZYLAS,5729
PAKUŁA,5728
GĄSIOROWSKA,5707
MIERZEJEWSKA,5672
DUBIEL,5660
GÓRNIAK,5655
KĘDZIORA,5655
KOPCZYŃSKA,5626
MILCZAREK,5624
SZWED,5621
BOBER,5617
GUZIK,5603
STASZEWSKA,5599
KRUPIŃSKA,5591
